jahr,bezirk,ortsteil,all16,all50,leitung16,leitung50,rf16,rf50
2011,Charlottenburg-Wilmersdorf,Charlottenburg,98,95,98,95,0,0
2011,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,94,75,94,75,0,0
2011,Charlottenburg-Wilmersdorf,Grunewald,97,89,97,89,0,0
2011,Charlottenburg-Wilmersdorf,Halensee,99,92,99,92,0,0
2011,Charlottenburg-Wilmersdorf,Schmargendorf,99,88,99,88,0,0
2011,Charlottenburg-Wilmersdorf,Westend,96,83,96,83,0,0
2011,Charlottenburg-Wilmersdorf,Wilmersdorf,100,92,100,92,0,0
2011,Friedrichshain-Kreuzberg,Friedrichshain,88,66,88,66,5,0
2011,Friedrichshain-Kreuzberg,Kreuzberg,96,83,96,83,0,0
2011,Lichtenberg,Alt-Hohenschönhausen,90,69,90,69,0,0
2011,Lichtenberg,Falkenberg,85,71,85,71,0,0
2011,Lichtenberg,Fennpfuhl,91,63,91,63,0,0
2011,Lichtenberg,Friedrichsfelde,93,64,93,64,0,0
2011,Lichtenberg,Karlshorst,92,78,92,78,0,0
2011,Lichtenberg,Lichtenberg,90,72,90,72,0,0
2011,Lichtenberg,Malchow,73,68,73,68,0,0
2011,Lichtenberg,Neu-Hohenschönhausen,81,69,81,69,0,0
2011,Lichtenberg,Rummelsburg,89,56,89,56,0,0
2011,Lichtenberg,Wartenberg,69,55,69,55,0,0
2011,Marzahn-Hellersdorf,Biesdorf,95,71,95,71,0,0
2011,Marzahn-Hellersdorf,Hellersdorf,97,66,97,66,0,0
2011,Marzahn-Hellersdorf,Kaulsdorf,93,69,93,69,0,0
2011,Marzahn-Hellersdorf,Mahlsdorf,91,62,91,62,0,0
2011,Marzahn-Hellersdorf,Marzahn,93,68,93,68,0,0
2011,Mitte,Gesundbrunnen,97,86,97,86,1,0
2011,Mitte,Hansaviertel,98,93,98,93,0,0
2011,Mitte,Mitte,98,76,92,76,69,0
2011,Mitte,Moabit,97,93,97,93,0,0
2011,Mitte,Tiergarten,97,85,97,85,1,0
2011,Mitte,Wedding,98,91,98,91,0,0
2011,Neukölln,Britz,92,75,92,75,0,0
2011,Neukölln,Buckow,96,78,96,78,0,0
2011,Neukölln,Gropiusstadt,94,76,94,76,0,0
2011,Neukölln,Neukölln,98,91,98,91,0,0
2011,Neukölln,Rudow,94,74,94,74,0,0
2011,Pankow,Blankenburg,79,50,79,50,0,0
2011,Pankow,Blankenfelde,47,6,47,6,0,0
2011,Pankow,Buch,85,57,85,57,0,0
2011,Pankow,Französisch Buchholz,91,56,91,56,0,0
2011,Pankow,Heinersdorf,98,62,98,62,0,0
2011,Pankow,Karow,34,17,34,17,0,0
2011,Pankow,Niederschönhausen,78,62,78,62,0,0
2011,Pankow,Pankow,98,71,98,71,0,0
2011,Pankow,Prenzlauer Berg,98,89,97,89,7,0
2011,Pankow,Rosenthal,82,54,82,54,0,0
2011,Pankow,Stadtrandsiedlung Malchow,83,14,83,14,0,0
2011,Pankow,Weißensee,92,53,92,53,0,0
2011,Pankow,Wilhelmsruh,96,91,96,91,0,0
2011,Reinickendorf,Frohnau,98,78,98,78,0,0
2011,Reinickendorf,Heiligensee,96,72,96,72,0,0
2011,Reinickendorf,Hermsdorf,98,80,98,80,0,0
2011,Reinickendorf,Konradshöhe,92,78,92,78,0,0
2011,Reinickendorf,Lübars,97,71,97,71,0,0
2011,Reinickendorf,Märkisches Viertel,96,69,96,69,0,0
2011,Reinickendorf,Reinickendorf,97,82,97,82,0,0
2011,Reinickendorf,Tegel,93,78,93,78,0,0
2011,Reinickendorf,Waldmannslust,99,77,99,77,0,0
2011,Reinickendorf,Wittenau,97,76,97,76,0,0
2011,Spandau,Falkenhagener Feld,96,70,96,70,0,0
2011,Spandau,Gatow,82,66,82,66,0,0
2011,Spandau,Hakenfelde,85,70,85,70,0,0
2011,Spandau,Haselhorst,96,78,96,78,0,0
2011,Spandau,Kladow,71,67,71,67,0,0
2011,Spandau,Siemensstadt,92,80,92,80,0,0
2011,Spandau,Spandau,98,88,98,88,0,0
2011,Spandau,Staaken,92,69,92,69,0,0
2011,Spandau,Wilhelmsstadt,97,80,97,80,0,0
2011,Steglitz-Zehlendorf,Dahlem,88,71,88,71,0,0
2011,Steglitz-Zehlendorf,Lankwitz,99,79,99,79,0,0
2011,Steglitz-Zehlendorf,Lichterfelde,96,81,96,81,0,0
2011,Steglitz-Zehlendorf,Nikolassee,95,72,95,72,0,0
2011,Steglitz-Zehlendorf,Steglitz,100,91,100,91,0,0
2011,Steglitz-Zehlendorf,Wannsee,95,71,95,71,0,0
2011,Steglitz-Zehlendorf,Zehlendorf,97,75,97,75,0,0
2011,Tempelhof-Schöneberg,Friedenau,99,94,99,94,0,0
2011,Tempelhof-Schöneberg,Lichtenrade,96,77,96,77,0,0
2011,Tempelhof-Schöneberg,Mariendorf,97,84,97,84,0,0
2011,Tempelhof-Schöneberg,Marienfelde,95,80,95,80,0,0
2011,Tempelhof-Schöneberg,Schöneberg,99,91,99,91,0,0
2011,Tempelhof-Schöneberg,Tempelhof,98,85,98,85,0,0
2011,Treptow-Köpenick,Adlershof,99,84,99,84,0,0
2011,Treptow-Köpenick,Altglienicke,94,61,94,61,0,0
2011,Treptow-Köpenick,Alt-Treptow,97,94,97,94,0,0
2011,Treptow-Köpenick,Baumschulenweg,92,77,92,77,0,0
2011,Treptow-Köpenick,Bohnsdorf,93,61,93,61,0,0
2011,Treptow-Köpenick,Friedrichshagen,94,77,94,77,0,0
2011,Treptow-Köpenick,Grünau,98,74,98,74,0,0
2011,Treptow-Köpenick,Johannistal,96,81,96,81,0,0
2011,Treptow-Köpenick,Köpenick,93,68,93,68,0,0
2011,Treptow-Köpenick,Müggelheim,81,5,81,5,0,0
2011,Treptow-Köpenick,Niederschöneweide,97,67,97,67,0,0
2011,Treptow-Köpenick,Oberschöneweide,98,83,98,83,0,0
2011,Treptow-Köpenick,Plänterwald,98,70,98,70,0,0
2011,Treptow-Köpenick,Rahnsdorf,87,5,87,5,0,0
2011,Treptow-Köpenick,Schmöckwitz,77,5,77,5,0,0
2012,Charlottenburg-Wilmersdorf,Charlottenburg,99,95,99,95,0,0
2012,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,97,84,97,84,0,0
2012,Charlottenburg-Wilmersdorf,Grunewald,98,86,98,86,0,0
2012,Charlottenburg-Wilmersdorf,Halensee,99,94,99,94,0,0
2012,Charlottenburg-Wilmersdorf,Schmargendorf,99,92,99,92,0,0
2012,Charlottenburg-Wilmersdorf,Westend,97,85,97,85,0,0
2012,Charlottenburg-Wilmersdorf,Wilmersdorf,100,94,100,94,0,0
2012,Friedrichshain-Kreuzberg,Friedrichshain,97,81,97,81,5,0
2012,Friedrichshain-Kreuzberg,Kreuzberg,97,81,97,81,0,0
2012,Lichtenberg,Alt-Hohenschönhausen,91,74,91,74,0,0
2012,Lichtenberg,Falkenberg,87,70,87,70,0,0
2012,Lichtenberg,Fennpfuhl,90,69,90,69,0,0
2012,Lichtenberg,Friedrichsfelde,95,77,95,77,0,0
2012,Lichtenberg,Karlshorst,93,81,93,81,0,0
2012,Lichtenberg,Lichtenberg,92,74,92,74,0,0
2012,Lichtenberg,Malchow,79,70,79,70,0,0
2012,Lichtenberg,Neu-Hohenschönhausen,95,92,95,92,0,0
2012,Lichtenberg,Rummelsburg,94,68,94,68,0,0
2012,Lichtenberg,Wartenberg,85,72,85,72,0,0
2012,Marzahn-Hellersdorf,Biesdorf,96,70,96,70,0,0
2012,Marzahn-Hellersdorf,Hellersdorf,99,88,99,88,0,0
2012,Marzahn-Hellersdorf,Kaulsdorf,96,69,96,69,0,0
2012,Marzahn-Hellersdorf,Mahlsdorf,89,57,89,57,0,0
2012,Marzahn-Hellersdorf,Marzahn,97,77,97,77,0,0
2012,Mitte,Gesundbrunnen,98,87,98,87,1,0
2012,Mitte,Hansaviertel,99,92,99,92,0,0
2012,Mitte,Mitte,99,89,97,89,69,0
2012,Mitte,Moabit,98,92,98,92,0,0
2012,Mitte,Tiergarten,98,85,98,85,1,0
2012,Mitte,Wedding,98,92,98,92,0,0
2012,Neukölln,Britz,95,81,95,81,0,0
2012,Neukölln,Buckow,98,80,98,80,0,0
2012,Neukölln,Gropiusstadt,97,79,97,79,0,0
2012,Neukölln,Neukölln,99,91,99,91,0,0
2012,Neukölln,Rudow,94,73,94,73,0,0
2012,Pankow,Blankenburg,74,44,74,44,0,0
2012,Pankow,Blankenfelde,44,6,44,6,0,0
2012,Pankow,Buch,84,65,84,65,0,0
2012,Pankow,Französisch Buchholz,92,58,92,58,0,0
2012,Pankow,Heinersdorf,98,61,98,61,0,0
2012,Pankow,Karow,39,19,39,19,0,0
2012,Pankow,Niederschönhausen,86,70,86,70,0,0
2012,Pankow,Pankow,99,84,99,84,0,0
2012,Pankow,Prenzlauer Berg,99,93,98,93,7,0
2012,Pankow,Rosenthal,85,53,85,53,0,0
2012,Pankow,Stadtrandsiedlung Malchow,84,13,84,13,0,0
2012,Pankow,Weißensee,96,73,96,73,0,0
2012,Pankow,Wilhelmsruh,97,92,97,92,0,0
2012,Reinickendorf,Frohnau,97,72,97,72,0,0
2012,Reinickendorf,Heiligensee,96,67,96,67,0,0
2012,Reinickendorf,Hermsdorf,98,75,98,75,0,0
2012,Reinickendorf,Konradshöhe,95,75,95,75,0,0
2012,Reinickendorf,Lübars,98,68,98,68,0,0
2012,Reinickendorf,Märkisches Viertel,97,70,97,70,0,0
2012,Reinickendorf,Reinickendorf,98,88,98,88,0,0
2012,Reinickendorf,Tegel,95,81,95,81,0,0
2012,Reinickendorf,Waldmannslust,100,86,100,86,0,0
2012,Reinickendorf,Wittenau,99,82,99,82,0,0
2012,Spandau,Falkenhagener Feld,97,80,97,80,0,0
2012,Spandau,Gatow,80,67,80,67,0,0
2012,Spandau,Hakenfelde,90,79,90,79,0,0
2012,Spandau,Haselhorst,98,84,98,84,0,0
2012,Spandau,Kladow,66,62,66,62,0,0
2012,Spandau,Siemensstadt,95,79,95,79,0,0
2012,Spandau,Spandau,99,91,99,91,0,0
2012,Spandau,Staaken,94,73,94,73,0,0
2012,Spandau,Wilhelmsstadt,99,87,99,87,0,0
2012,Steglitz-Zehlendorf,Dahlem,92,74,92,74,0,0
2012,Steglitz-Zehlendorf,Lankwitz,100,86,100,86,0,0
2012,Steglitz-Zehlendorf,Lichterfelde,96,78,96,78,0,0
2012,Steglitz-Zehlendorf,Nikolassee,93,67,93,67,0,0
2012,Steglitz-Zehlendorf,Steglitz,100,93,100,93,0,0
2012,Steglitz-Zehlendorf,Wannsee,96,73,96,73,0,0
2012,Steglitz-Zehlendorf,Zehlendorf,97,77,97,77,0,0
2012,Tempelhof-Schöneberg,Friedenau,100,94,100,94,0,0
2012,Tempelhof-Schöneberg,Lichtenrade,97,78,97,78,0,0
2012,Tempelhof-Schöneberg,Mariendorf,98,87,98,87,0,0
2012,Tempelhof-Schöneberg,Marienfelde,96,82,96,82,0,0
2012,Tempelhof-Schöneberg,Schöneberg,99,89,99,89,0,0
2012,Tempelhof-Schöneberg,Tempelhof,99,90,99,90,0,0
2012,Treptow-Köpenick,Adlershof,99,88,99,88,0,0
2012,Treptow-Köpenick,Altglienicke,93,64,93,64,0,0
2012,Treptow-Köpenick,Alt-Treptow,99,94,99,94,0,0
2012,Treptow-Köpenick,Baumschulenweg,92,84,92,84,0,0
2012,Treptow-Köpenick,Bohnsdorf,92,59,92,59,0,0
2012,Treptow-Köpenick,Friedrichshagen,96,83,96,83,0,0
2012,Treptow-Köpenick,Grünau,98,76,98,76,0,0
2012,Treptow-Köpenick,Johannistal,97,80,97,80,0,0
2012,Treptow-Köpenick,Köpenick,95,78,95,78,0,0
2012,Treptow-Köpenick,Müggelheim,79,5,79,5,0,0
2012,Treptow-Köpenick,Niederschöneweide,99,73,99,73,0,0
2012,Treptow-Köpenick,Oberschöneweide,98,90,98,90,0,0
2012,Treptow-Köpenick,Plänterwald,99,80,99,80,0,0
2012,Treptow-Köpenick,Rahnsdorf,87,5,87,5,0,0
2012,Treptow-Köpenick,Schmöckwitz,72,5,72,5,0,0
2013,Charlottenburg-Wilmersdorf,Charlottenburg,100,97,100,97,0,0
2013,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,97,93,97,93,0,0
2013,Charlottenburg-Wilmersdorf,Grunewald,99,95,99,95,0,0
2013,Charlottenburg-Wilmersdorf,Halensee,99,98,99,98,0,0
2013,Charlottenburg-Wilmersdorf,Schmargendorf,100,95,100,95,0,0
2013,Charlottenburg-Wilmersdorf,Westend,98,92,98,92,0,0
2013,Charlottenburg-Wilmersdorf,Wilmersdorf,100,98,100,98,0,0
2013,Friedrichshain-Kreuzberg,Friedrichshain,97,77,97,77,0,0
2013,Friedrichshain-Kreuzberg,Kreuzberg,98,86,98,86,0,0
2013,Lichtenberg,Alt-Hohenschönhausen,95,86,95,86,0,0
2013,Lichtenberg,Falkenberg,85,64,85,64,0,0
2013,Lichtenberg,Fennpfuhl,88,46,88,46,0,0
2013,Lichtenberg,Friedrichsfelde,93,65,93,65,0,0
2013,Lichtenberg,Karlshorst,95,85,95,85,0,0
2013,Lichtenberg,Lichtenberg,91,73,91,73,0,0
2013,Lichtenberg,Malchow,78,72,78,72,0,0
2013,Lichtenberg,Neu-Hohenschönhausen,96,94,96,94,0,0
2013,Lichtenberg,Rummelsburg,97,69,97,69,0,0
2013,Lichtenberg,Wartenberg,74,36,74,36,0,0
2013,Marzahn-Hellersdorf,Biesdorf,98,82,98,82,0,0
2013,Marzahn-Hellersdorf,Hellersdorf,99,84,99,84,0,0
2013,Marzahn-Hellersdorf,Kaulsdorf,97,77,97,77,0,0
2013,Marzahn-Hellersdorf,Mahlsdorf,95,72,95,72,0,0
2013,Marzahn-Hellersdorf,Marzahn,98,82,98,82,0,0
2013,Mitte,Gesundbrunnen,98,88,98,88,0,0
2013,Mitte,Hansaviertel,100,92,100,92,0,0
2013,Mitte,Mitte,99,94,99,94,0,0
2013,Mitte,Moabit,99,95,99,95,0,0
2013,Mitte,Tiergarten,99,95,99,95,0,0
2013,Mitte,Wedding,99,96,99,96,0,0
2013,Neukölln,Britz,97,88,97,88,0,0
2013,Neukölln,Buckow,98,84,98,84,0,0
2013,Neukölln,Gropiusstadt,97,83,97,83,0,0
2013,Neukölln,Neukölln,100,94,100,94,0,0
2013,Neukölln,Rudow,97,83,97,83,0,0
2013,Pankow,Blankenburg,81,61,81,61,0,0
2013,Pankow,Blankenfelde,60,26,60,26,0,0
2013,Pankow,Buch,91,71,91,71,0,0
2013,Pankow,Französisch Buchholz,93,69,93,69,0,0
2013,Pankow,Heinersdorf,96,69,96,69,0,0
2013,Pankow,Karow,70,20,70,20,0,0
2013,Pankow,Niederschönhausen,87,82,87,82,0,0
2013,Pankow,Pankow,92,90,92,90,0,0
2013,Pankow,Prenzlauer Berg,99,95,99,95,0,0
2013,Pankow,Rosenthal,88,62,88,62,0,0
2013,Pankow,Stadtrandsiedlung Malchow,87,20,87,20,0,0
2013,Pankow,Weißensee,79,74,79,74,0,0
2013,Pankow,Wilhelmsruh,100,92,100,92,0,0
2013,Reinickendorf,Frohnau,99,86,99,86,0,0
2013,Reinickendorf,Heiligensee,98,79,98,79,0,0
2013,Reinickendorf,Hermsdorf,99,83,99,83,0,0
2013,Reinickendorf,Konradshöhe,98,91,98,91,0,0
2013,Reinickendorf,Lübars,99,85,99,85,0,0
2013,Reinickendorf,Märkisches Viertel,99,70,99,70,0,0
2013,Reinickendorf,Reinickendorf,99,92,99,92,0,0
2013,Reinickendorf,Tegel,98,87,98,87,0,0
2013,Reinickendorf,Waldmannslust,99,91,99,91,0,0
2013,Reinickendorf,Wittenau,99,89,99,89,0,0
2013,Spandau,Falkenhagener Feld,98,86,98,86,0,0
2013,Spandau,Gatow,86,79,86,79,0,0
2013,Spandau,Hakenfelde,92,84,92,84,0,0
2013,Spandau,Haselhorst,99,92,99,92,0,0
2013,Spandau,Kladow,81,78,81,78,0,0
2013,Spandau,Siemensstadt,95,90,95,90,0,0
2013,Spandau,Spandau,99,94,99,94,0,0
2013,Spandau,Staaken,97,83,97,83,0,0
2013,Spandau,Wilhelmsstadt,99,94,99,94,0,0
2013,Steglitz-Zehlendorf,Dahlem,94,88,94,88,0,0
2013,Steglitz-Zehlendorf,Lankwitz,100,92,100,92,0,0
2013,Steglitz-Zehlendorf,Lichterfelde,98,90,98,90,0,0
2013,Steglitz-Zehlendorf,Nikolassee,97,82,97,82,0,0
2013,Steglitz-Zehlendorf,Steglitz,100,98,100,98,0,0
2013,Steglitz-Zehlendorf,Wannsee,99,85,99,85,0,0
2013,Steglitz-Zehlendorf,Zehlendorf,99,89,99,89,0,0
2013,Tempelhof-Schöneberg,Friedenau,100,99,100,99,0,0
2013,Tempelhof-Schöneberg,Lichtenrade,99,90,99,90,0,0
2013,Tempelhof-Schöneberg,Mariendorf,98,93,98,93,0,0
2013,Tempelhof-Schöneberg,Marienfelde,95,87,95,87,0,0
2013,Tempelhof-Schöneberg,Schöneberg,99,94,99,94,0,0
2013,Tempelhof-Schöneberg,Tempelhof,99,91,99,91,0,0
2013,Treptow-Köpenick,Adlershof,99,91,99,91,0,0
2013,Treptow-Köpenick,Altglienicke,97,79,97,79,0,0
2013,Treptow-Köpenick,Alt-Treptow,99,95,99,95,0,0
2013,Treptow-Köpenick,Baumschulenweg,94,86,94,86,0,0
2013,Treptow-Köpenick,Bohnsdorf,95,64,95,64,0,0
2013,Treptow-Köpenick,Friedrichshagen,97,88,97,88,0,0
2013,Treptow-Köpenick,Grünau,98,85,98,85,0,0
2013,Treptow-Köpenick,Johannistal,99,90,99,90,0,0
2013,Treptow-Köpenick,Köpenick,96,80,96,80,0,0
2013,Treptow-Köpenick,Müggelheim,85,46,85,46,0,0
2013,Treptow-Köpenick,Niederschöneweide,99,92,99,92,0,0
2013,Treptow-Köpenick,Oberschöneweide,98,91,98,91,0,0
2013,Treptow-Köpenick,Plänterwald,99,96,99,96,0,0
2013,Treptow-Köpenick,Rahnsdorf,94,51,94,51,0,0
2013,Treptow-Köpenick,Schmöckwitz,97,86,97,86,0,0
2015,Charlottenburg-Wilmersdorf,Charlottenburg,100,98,100,98,98,0
2015,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,98,93,98,93,99,0
2015,Charlottenburg-Wilmersdorf,Grunewald,99,96,99,96,96,0
2015,Charlottenburg-Wilmersdorf,Halensee,99,98,99,98,94,0
2015,Charlottenburg-Wilmersdorf,Schmargendorf,100,94,100,94,91,0
2015,Charlottenburg-Wilmersdorf,Westend,99,93,99,93,95,0
2015,Charlottenburg-Wilmersdorf,Wilmersdorf,100,98,100,98,96,0
2015,Friedrichshain-Kreuzberg,Friedrichshain,98,87,98,87,98,0
2015,Friedrichshain-Kreuzberg,Kreuzberg,100,90,100,90,98,0
2015,Lichtenberg,Alt-Hohenschönhausen,98,91,98,91,93,0
2015,Lichtenberg,Falkenberg,86,62,86,62,97,0
2015,Lichtenberg,Fennpfuhl,97,74,97,74,97,0
2015,Lichtenberg,Friedrichsfelde,98,81,98,81,93,0
2015,Lichtenberg,Karlshorst,97,88,97,88,94,0
2015,Lichtenberg,Lichtenberg,96,84,96,84,99,0
2015,Lichtenberg,Malchow,94,70,94,70,98,0
2015,Lichtenberg,Neu-Hohenschönhausen,97,95,97,95,95,0
2015,Lichtenberg,Rummelsburg,98,83,98,83,96,0
2015,Lichtenberg,Wartenberg,73,36,73,36,81,0
2015,Marzahn-Hellersdorf,Biesdorf,98,83,98,83,86,0
2015,Marzahn-Hellersdorf,Hellersdorf,100,92,100,92,99,0
2015,Marzahn-Hellersdorf,Kaulsdorf,99,81,99,81,96,0
2015,Marzahn-Hellersdorf,Mahlsdorf,96,73,96,73,88,0
2015,Marzahn-Hellersdorf,Marzahn,99,89,99,89,95,0
2015,Mitte,Gesundbrunnen,100,89,100,89,98,0
2015,Mitte,Hansaviertel,100,93,100,93,99,0
2015,Mitte,Mitte,100,95,100,95,98,0
2015,Mitte,Moabit,100,96,100,96,99,0
2015,Mitte,Tiergarten,100,96,100,96,99,0
2015,Mitte,Wedding,100,96,100,96,98,0
2015,Neukölln,Britz,99,90,99,90,91,0
2015,Neukölln,Buckow,100,84,100,84,93,0
2015,Neukölln,Gropiusstadt,98,81,98,81,97,0
2015,Neukölln,Neukölln,100,95,100,95,97,0
2015,Neukölln,Rudow,99,83,99,83,92,0
2015,Pankow,Blankenburg,83,61,83,61,94,0
2015,Pankow,Blankenfelde,73,54,73,54,78,0
2015,Pankow,Buch,95,83,95,83,100,0
2015,Pankow,Französisch Buchholz,97,70,97,70,97,0
2015,Pankow,Heinersdorf,98,73,98,73,85,0
2015,Pankow,Karow,82,47,82,47,99,0
2015,Pankow,Niederschönhausen,96,87,96,87,86,0
2015,Pankow,Pankow,94,91,94,91,97,0
2015,Pankow,Prenzlauer Berg,100,97,100,97,98,0
2015,Pankow,Rosenthal,95,67,95,67,95,0
2015,Pankow,Stadtrandsiedlung Malchow,96,20,96,20,96,0
2015,Pankow,Weißensee,88,83,88,83,91,0
2015,Pankow,Wilhelmsruh,100,96,100,96,98,0
2015,Reinickendorf,Frohnau,100,98,100,98,99,0
2015,Reinickendorf,Heiligensee,99,80,99,80,94,0
2015,Reinickendorf,Hermsdorf,100,85,100,85,98,0
2015,Reinickendorf,Konradshöhe,99,92,99,92,49,0
2015,Reinickendorf,Lübars,100,88,100,88,97,0
2015,Reinickendorf,Märkisches Viertel,100,87,100,87,94,0
2015,Reinickendorf,Reinickendorf,100,93,100,93,96,0
2015,Reinickendorf,Tegel,99,89,99,89,96,0
2015,Reinickendorf,Waldmannslust,100,93,100,93,98,0
2015,Reinickendorf,Wittenau,100,92,100,92,94,0
2015,Spandau,Falkenhagener Feld,99,89,99,89,96,0
2015,Spandau,Gatow,86,79,86,79,80,0
2015,Spandau,Hakenfelde,96,86,96,86,96,0
2015,Spandau,Haselhorst,99,92,99,92,94,0
2015,Spandau,Kladow,86,79,86,79,96,0
2015,Spandau,Siemensstadt,98,93,98,93,96,0
2015,Spandau,Spandau,100,95,100,95,91,0
2015,Spandau,Staaken,98,84,98,84,95,0
2015,Spandau,Wilhelmsstadt,100,95,100,95,95,0
2015,Steglitz-Zehlendorf,Dahlem,96,89,96,89,89,0
2015,Steglitz-Zehlendorf,Lankwitz,100,92,100,92,91,0
2015,Steglitz-Zehlendorf,Lichterfelde,100,91,100,91,90,0
2015,Steglitz-Zehlendorf,Nikolassee,99,82,99,82,94,0
2015,Steglitz-Zehlendorf,Steglitz,100,98,100,98,92,0
2015,Steglitz-Zehlendorf,Wannsee,99,86,99,86,94,0
2015,Steglitz-Zehlendorf,Zehlendorf,100,89,100,89,94,0
2015,Tempelhof-Schöneberg,Friedenau,100,99,100,99,97,0
2015,Tempelhof-Schöneberg,Lichtenrade,100,91,100,91,93,0
2015,Tempelhof-Schöneberg,Mariendorf,100,94,100,94,92,0
2015,Tempelhof-Schöneberg,Marienfelde,98,88,98,88,91,0
2015,Tempelhof-Schöneberg,Schöneberg,100,94,100,94,97,0
2015,Tempelhof-Schöneberg,Tempelhof,100,91,100,91,93,0
2015,Treptow-Köpenick,Adlershof,100,91,100,91,95,0
2015,Treptow-Köpenick,Altglienicke,98,80,98,80,98,0
2015,Treptow-Köpenick,Alt-Treptow,100,95,100,95,95,0
2015,Treptow-Köpenick,Baumschulenweg,94,86,94,86,94,0
2015,Treptow-Köpenick,Bohnsdorf,97,64,97,64,92,0
2015,Treptow-Köpenick,Friedrichshagen,99,91,99,91,99,0
2015,Treptow-Köpenick,Grünau,100,86,100,86,97,0
2015,Treptow-Köpenick,Johannistal,98,90,98,90,75,0
2015,Treptow-Köpenick,Köpenick,99,85,99,85,95,0
2015,Treptow-Köpenick,Müggelheim,86,46,86,46,22,0
2015,Treptow-Köpenick,Niederschöneweide,99,93,99,93,90,0
2015,Treptow-Köpenick,Oberschöneweide,99,91,99,91,96,0
2015,Treptow-Köpenick,Plänterwald,100,97,100,97,94,0
2015,Treptow-Köpenick,Rahnsdorf,97,56,97,56,88,0
2015,Treptow-Köpenick,Schmöckwitz,97,85,97,85,79,0